caseid,mobilpo_wparty_oth,postvote_presvtwho_oth,postvote_vtpresdec,postvote_prefprwho_oth,ofcrec_speaker,ofcrec_vp,ofcrec_pmuk,ofcrec_cj,mip_prob1,mip_prob2,mip_prob3,mip_mostprob,fairjob_opin_oth,abort_dpc4_oth,abort_rpc4_oth,abort_dem4_oth,abort_rep4_oth,aapost_hire_oth,cses_ptycont_oth,pohisp_hispnews_oth,pohisp_renglish_oth,pohisp_rspanish_oth,CASISTARTPO_IWRSET6
1885,,,,,DK,DK,DK,DK,jobs/hard to find a good paying job//to support our family,"violence//teenagers killing each other because wearing color or hat that the other person doesn't like, especially here in [LOCATION REDACTED] it happens more often not safe there, had thought about moving  there as rent is lower however would risk childrens lifes.  prefers to sleep less, hardly any and pay more rent to keep family safe","economy//things go up money goes down don't get much pay don't make more money, nad need to go on welfare and other services, people look at you bad think you are just using everyones money but you just need to survive i get food stamps everything else is from my job, live pay check to paycheck only make 12-15 dollars an hour","violance , because jobs hard to find but you will find one money you can also get some however violence, with it you can't survive",,,,,,,,,,,coffe
1886,,,"A few years, wanted him to be in office for second term from beganing especilly after the first2year",,speaker of the house,vice president,DK,Supreme court justice,jobs,economy,fiscal cliff,jobs,,,,,,,,,,,toast egg honey tea
1887,,,A good amount of time.,,Speaker of the House,Vice President,President of Canada,Supreme Court Justice,How didvided we are as a nation,The economy,"Homelessness, taking care of the disinfranchized.",The economy,"It is not a federl issue, it is a state and local community issue",,,,,,,,,,ront
1888,,,,,,,,,,,,,,,,,,,,,,,
1889,,,,,"He is the Speaker of the House, Republican from South Western Ohio",Vice President,"He is a Brit, Prime Minister I believe.",He is the Chief Justice of the Supreme Court,Government extragance// They spend too much of other peoples money.,"Immigration// Injustice// Persecution//It is inconsistent. There is no way for it to be law abiding, I should say impossible.","Education// There isn't any.// The students are pretty much on their own, the administation and systems are contrary to learning. The teachers are impaired no matter how good they are, the system does not who are the bad and good teachers.The system is an impediment to learning, it is not that the students don't learn, it is that the schools are not helpful. The school system is really a custodial system and is there for custodial purposes and not for learning. As a result, it is having a destructive effect on families because it is trying to replace parental responsiblity.","The plundering, The other problems would be more solidable without the plundering. It is the plundering that is causing, handicapping others. The spending of the money and wasting of money. The waste of capital. Solving the immigration problem would be an asset and off set that plundering.",,,,,,,Liberatariums,,,,cereal
1890,,,,,Democrat,Vice president,Analist at the senate,Us house of senate,The economy the american people to get together and work. Make more jobs,Crime going up and law enforcement going down with laid offs.,Education the budget cut on schools and teachers. Hopefully the measures taken are gonna make schools go back to work.,The Economy.,,,,,,,,,,,no
1891,,,2 weeks before,,speaker of the house of representative,vice pesident,"committee of the house, ei,he is a conservative ei",dk,"the economy ei, taxes ei, education system ei","global warming ei, international relations ei",,,every one should get fair treatment,,,,,,,,,,eggs
1892,,,,,SPEAKER OF THE HOUSE,VICE PRESIDENT,DK,DK,ILIGAL IMMNIGRATION,INTERNATIONAL SECURITY,ECONOMIC STATUS,THE ECONOMY,,,,,,,,,,,Smoothie and toast.
1893,,,,,dk,vice president,chairman,dk,"war // issues we are having now in Turkey, sending so many troops in over night.","unemployment // i think the way work is going on right now, its real slow. no new housings, there are so many homeless people in america and so many foreclosures right now. the foreclosure rate is higher than the homeless rate.",,unemployment,,,,,,,,,,,"ham & eggs, bacon, potatoes"
1894,,,,,speaker of the house,vice president,congress,supreme court,debt,borrowing money from china,,borrowing money from china,,,,,,,,,,,oatmeal
1895,,,a week,,dk,vice president,dk,dk,the national debt // i think the govt needs to cut back on frivilous spending,illegal aliens // i think we need to tighten everything up and not be so lienient. right now you can be an illegal alien and go to college for free,,the national debt,,,,,,,,,,,oatmeal
1896,,,,,,,,,,,,,,,,,,,,,,,
1897,,,LONG TIME / WHE HE START HELPING THE DREAM ACT,,DK,VICE PRESIDENT,DK,DK,ECONOMY,FOREIGN COUNTRY TRADES,,ECONOMY,,,,,,,,,,,EGGS AND HASHBROWNS
1898,,,WHEN I KNEW THE HE WIND THAT REPUBLICAN PRIMARIES,,DK,VICE PRESIDENT,DK,DK,MISSED MANAGEMENT OF MONEY,"MILITARY POLICY, US ARE ALWAYS INVOLVED AND MAKE US BE AN A LOT OF TROUBLE",DEPENDANCE UNFOREIGN OIL,MISSED MANAGEMENT OF MONEY,,,,,,,,,,,Spaghetti
1899,,,,,dk,vice president,dk,dk,unemployment,housing problem,the way of goberment is trying to solve problems,UNEMPLOYMENT,,,,,,,,,,,"EGGS & TOAST,W/JUICE"
1900,,,1 WEEK BEFORE,,DK,VICE PRESIDENT,DK,DK,CONCERNING WITH OTHER COUNTRIES IN THE WORLD,EDUCATION,DISTRIBUTION OF WHEALTH,EDUCATION,,,,,,,,,,,TOAST AND COCO
1901,,,a month and a half,,dk,dk,dk,dk,the payment that employees receive after their company has shut down or closed//this money they receive is too long,too many people on food stamps//they don't know anything else and their families have lived on it//,,unemployment is too long,,,,,,,,,,,bacon and wheaties
1902,,,Compared to Romney it really didnt take me very long. I would say maybe a week.,,A position in the Senate,Vice President,House of Representative Position,Senate Position,Our Economy,Jobs-There are not enough jobs,Social Security-That it is going to run out,Economy,,,,,,,,,,,pizza
1903,,,,,"House of Representatives, Speaker of the House",Vice President,DK,Chief Justice,health care// there are too many uninsured and health care is too expensive,the economy//we are deeper in debt than we have ever been,our foreign policy//we're not the stron gnation that we used to be perceived as,the economy,,,,,,,,,,,Power Bar
1904,,,4 years,,no idea/DK,vicepresident,DK/DK,DK/DK,any equality,forien policies,economy,the equality in the economics,,,,,,,,,,,breakfast bar
1905,,,3 -4 months,,Speaker of the House,Vice President,"I have no idea, best guess house minority whip",Chief Justice of the Supreme Court,"I think our tax policy is not good, we need to revise it to make sure we are taxing the wealthy as fairly as possible to increase revenue and reduce the deficit","Education, our standing in the world especially for Science and Technology, last I checked we were ranked around 17 in the world in Science and Technology knowledge,  we have to focus our efforts on improving the quality of teachers to stay competitive","The economy is an important issue, I just don't see a clear path to resolving the issue without first addressing the tax issue, particularly as it relates to tax cuts to the wealthiest 1 percent , we can't afford to not tax the high earners.","long term? the education issue, it's critical because we as a nation are becoming more idiotic, it's almost an logarithmic, we are all going to be a nation of honey boo boos",,,,,,,,,,,cheerios
1906,,,Longer than that.,,DK,He's the vice president of the United States.,House of Representatives - name sounds familiar. There's so many new ones.,He's a Senator.,Jobs,Economy - we're still in a recession.,Education.,Jobs.,,,,,,,,,,,toast
1907,,,,,DK,Vice President.,DK,DK,The health insurance thing they're trying.,"I guess the way taxes are dealt with - how rich people pay less taxes, for example.",The U.S. is in debt I guess regarding exports and imports - I'm not sure what you call it. Trade deficit.,I guess overall as a country I guess trade deficit.,,,,,,,,,,,eggs and hash browns
1908,,,,,DK,Vice President,DK,DK,Enmployment,Cost of living,,Cost of living,,,,,,,,,,,coffee
1909,,,,,DK,DK,DK,DK,"jobs, good ones",welfare,,jobs,,,,,,,,,,,cearel
1910,,,,,dk,vice president,dk,dk,federal spending,lack of work,homeland security,,,,,,,,,,,,nothing
1911,,,,,dk,vp,dk,supreme court,"economy direction,getting worse",job market not improving,educational system,,,,,,,,,,,,"toast, eggs"
1912,,,,,dk,governor,dk,senate rep,"pregnacy of minors, school drop out, lack of employment",economy,education,,,,,,,,,,,,nothing
1913,,,,,dk,vp,dk,dk,economy,"liberals taking over by way of the media, people now depend and believe all the gosip and lies they are told by way of media",,economy,,,,,,,,,,,eggs
1914,,,1 yr,,Speaker of the House,Vice President,Prime Minister England,Chief Justice Supreme Court,Federal deficit,Immigration,Economy,Economy,,,,,,,,,,,Toast
1915,,,2 years,,Speaker of the House,Vice President,Prime Minister England,Chief Justice,Economy,Federal deficit,Immigration issues,Economy,,,,,,,,,,,Toast
1916,,,,,Speaker of the House,Vice President,Prime Minister England,Chief Justice Supreme Court,To much sprending,Too much immigration problems,Too many programs for the poor.,Healthcare,,,,,,,,,,,Toast
1917,,,,,nO i DON't.//no I haven; t,No//Is he for governor/,NO/no,Nope//no,The economy//Just the way the gov spends all the money theyhave.  I don't watch that much news but For expa how they tspined the money on jets .  They all go by jets and then say the economy i sbad. I guess you'd say they don't spend the money wisely.//No,"Gas prices//I guess that's the economy, but;;;;  Ikow it's going down a little but it's been really really high.  Wehn I was born it was like $2.50//I think it would save a lot of money for peooleit went down.  They would have more money for food.  I t all addsup.",Like the war thing going on.  Like us going and messing with other countries.  Pretty soon we'll mess with a country that really doesn't like it.  I think we shouldn't go to other countries to fix things.  We should just fix here.//I just think it's a problem because a lot of people die.  It could be a family menber of mine or a cousin.  Just the loss of lives.,We need to get organized and just brainstorm.  Everyboyd not just a few people making decisions.,,,,,,,,,,,hhh
1918,,,,,Isn't he a judge?,He's not the president;I know that . I thik he's a manager.,He's an attorney.,I think he's a lawyer.,The criminals//They're always causing trouble.//The cops have to deal with it.//They always got to find a place to put them.  That's hard.  Expecially the jail cells; they're so full.  I thought we had a lot of jail cells. What happend to the new jail webuilt? Did they every use it.,Jobs//You can't hardly find one.  The economyis hard to find a job.//It's hard to decide what kind of job in town there are that people can do.,The war//Obama is trtying to stop the war//We ose a lot of military troops.//But it's hard to pay the troops.  It's hard to try to keep them alive.,We need to hire more police officers ad fire fighters.,,,,,,,,,,,eggs
1919,,,,,No//no,No,No,No,"There's not enough jobs.//The economy is bad, and instead of everything going down, the prices are all going up.//When I look for a job, you have to have a license.  Mine's been [REDEACTED PERSONAL INFORMATION].  That, and a [REDACTED ITEM] was taken away from me at a very young age. (I was a felon at [REDACTED AGE], and my juvenile record wasn't erased like it's supposed to be)I couldn't drive at sixteen like everyone else. (Interviewer note--He feels it's too hard for him and others like him to get jobs. That's the problem.)","The schools.  They need to protect the school and make them more safer.//They need at least two officers in the school.  I never used to think about these things.//Don't just pass the kids up.  Like me, they just passed me up.  I don't know how to read that good or know any of the things the kids are learning now.  They're starting to do that with [REDACTED FAMILY MEMBER]//No","They're letting too many immigrants come in.  They're taking all the jobs.  If we go to Mexico we can't work there, but they can work here.  They can buy houses and all kinds of things we can't.  They can buy buildings and businesses because they use different social security cards. I'd like to buy a business, but I can't.  Once I tried to buy a house, but I couldn't because [REDACTED DETAILS].  They can't forget what I did at [REDACTED AGE], and it was only a flash gun.  [REDACTED DETAILS].(Interviewer note--There was a lot about his personal problems.)",THE SCHOOLS.,,,,,,,,,,,jjj
1920,,,2 years ago,,I don't know//Political advisor I have no clue.,"No//I recognize the name, but...",NO clue//no,Never heard of him//NO,The government is taking over too much responsiblity//I think it should be the people doing everything and the government should just stayout of it.  It's too much for the governmentto handle so they shouldnit ever try.//no,Overpopulation is a big issue.  //They're letting too many people in the country without making sure they have what they need to survive here first//Mainly too many people coming here.,The debt//How we import more than we export on the important things.//It's not getting aby better its onlygetting worse.//They are spending more and more money and they need to be spending less and less money.,Government taking over too much power and responsiblity.,,,,,,,,,,,steak
1921,,,,,No//I've heard of him but no.,no//no,no//no,no,Seniors//A lot of themdon't seem to get anyhelp.  They either make too much money or not enough and can't get benefits nlike food stamps and medical help.  That would be it I think.,Medical issues  Like several time I've had to goto the hop and I cant afford to pay the bill. Sev times Ive applied tfor welfare but they say I make too muc money.  I onlymake abotu 1200.  Idont' have enought to pay big hos bils//I just don't know what the sollution would be//No.,I really can't think of anything to say.//No// I just don't know.,Probably more jobs for these people notworking.  A lot of them need a lot of help.,,,,,,,,,,,EEE
